speckey,xxScientific Name,Taxonomic System
1144763,xxGeocaulon,Botany
1144467,xxSaxifraga rivularis,Botany
1146503,xxBryobrittonia longipes,Botany
1144809,xxAcer nigrum,Botany
1147859,xxDennstaedtia punctilobula,Botany
1147861,xxDennstaedtia sp.,Botany
1147871,xxHypolepis repens,Botany
1147874,xxMicrolepia,Botany
1146520,xxEphemerum serratum,Botany
1146533,xxFontinalis,Botany
1147592,xxPolystichum mohrioides,Botany
1147602,xxTectaria,Botany
1147606,xxWoodsia,Botany
1146542,xxPhyscomitrella,Botany
1146549,xxGrimmia,Botany
1146560,xxHookeria,Botany
1146861,xxChamaecyparis,Botany
1146577,xxHypnum hamulosum,Botany
1147885,xxPteridium,Botany
1144269,xxAronia,Botany
1144271,xxAruncus,Botany
1146380,xxHomalothecium,Botany
1144282,xxCrataegus mollis,Botany
1148200,xxPolypodium phymatoides,Botany
1148203,xxPolypodium scolopendria,Botany
1148208,xxPolypodium spectrum,Botany
1146630,xxCinclidium latifolium,Botany
1146631,xxCinclidium sp.,Botany
1146643,xxNeckera,Botany
1148209,xxPolypodium tamariscinum,Botany
1148231,xxAdiantum capillusveneris,Botany
1148233,xxAdiantum jordani,Botany
1146653,xxPlagiothecium,Botany
1146342,xxArchidium,Botany
1146346,xxAulacomnium acuminatum,Botany
1146348,xxAulacomnium sp.,Botany
1146351,xxBartramia,Botany
1146367,xxBrachythecium,Botany
1146370,xxEurhynchium riparioides,Botany
1146372,xxEurhynchium sp.,Botany
1147583,xxPolybotrya,Botany
1147586,xxPolystichum,Botany
1146386,xxRhynchostegium,Botany
1144755,xxComandra livida,Botany
1144757,xxComandra richardsiana,Botany
1146675,xxPolytrichum sp.,Botany
1146677,xxPsilopilum,Botany
1146679,xxAcaulon,Botany
1146681,xxAloina,Botany
1146694,xxEucladium,Botany
1146415,xxPohlia,Botany
1146420,xxRhodobryum,Botany
1184393,xxCalamagrostis purpurascens subsp. arctica,Botany
1146268,xxDrepanocladus pseudostramineus,Botany
1146272,xxHygrohypnum sp.,Botany
1142530,xxCeanothus,Botany
1142537,xxColubrina,Botany
1146444,xxBrachydontium,Botany
1142700,xxCrassula aquatica,Botany
1146449,xxCynodontium polycarpum,Botany
1146462,xxDicranum leioneuron,Botany
1146465,xxOreas,Botany
1146469,xxTrematodon,Botany
1142754,xxSedum sp.,Botany
1142630,xxVitis acerfolia,Botany
1142632,xxVitis cinerea,Botany
1142634,xxVitis labrusca,Botany
1142637,xxVitis tiliifolia,Botany
1146777,xxMyurella tenerrima,Botany
1144332,xxPhotinia,Botany
1146791,xxTimmia,Botany
1146797,xxTimmia megapolitana var. bavarica,Botany
1142721,xxRhodiola,Botany
1142731,xxSedum annum,Botany
1144356,xxPotentilla pensylvanica var. strigosa,Botany
1144367,xxPrunus melanocarpa,Botany
1145984,xxCicuta,Botany
1146770,xxTetraplodon,Botany
1146286,xxCalliergon sp.,Botany
1146312,xxDrepanocladus crassicostatus,Botany
1146314,xxDrepanocladus lycopodioides,Botany
1146316,xxDrepanocladus revolvens,Botany
1146284,xxCalliergon richardsonii,Botany
1141726,xxEpilobium sp.,Botany
1143878,xxPsoralea,Botany
1141016,xxMentha piperita,Botany
1141022,xxMonarda fistulosa var. menthaefolia,Botany
1141702,xxCalylophus serrulatus,Botany
1146995,xxPinus flexilis,Botany
1146997,xxPinus monticala,Botany
1143849,xxOxytropis sericea var. spicata,Botany
1143850,xxOxytropis terrae-novae,Botany
1142857,xxRibes grossularia,Botany
1143914,xxVicia,Botany
1141541,xxMetrosideros,Botany
1146249,xxSphenophyllum sp.,Botany
1185543,xxElymus diversiglumis,Botany
1147496,xxPsilotum nudum,Botany
1147498,xxPsilotum triquetrum,Botany
1147449,xxIsoetes lithophila,Botany
1147472,xxSelaginella kraussiana,Botany
1147542,xxArachniodes,Botany
1147546,xxCyclopeltis,Botany
1147548,xxCyrtomium,Botany
1147550,xxDryopteris,Botany
1147559,xxDryopteris linnaeana,Botany
1147562,xxDryopteris spinulosa,Botany
1147567,xxLastreopsis,Botany
1147573,xxMatteuccia,Botany
1147576,xxOnoclea,Botany
1147318,xxFossombronia,Botany
1148376,xxAzolla,Botany
1147635,xxPhyllitis scolopendrium var. americanum,Botany
1147638,xxAthyrium alpestre,Botany
1147893,xxSaccoloma domingense,Botany
1147896,xxSaccoloma inaequale,Botany
1147899,xxCibotium,Botany
1147738,xxDoodia sp.,Botany
1147930,xxLindsaeaceae,Botany
1147336,xxTargionia,Botany
1148003,xxDicranopteris,Botany
1148013,xxGleichenia bifida,Botany
