Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Bryophyte,CANM 301010,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 301009,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 260708,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 206545,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104877,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium | Tomenthypnum falcifolium
Bryophyte,CANM 254802,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 206544,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 224858,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104943,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 209130,Sphagnum recurvum var. tenue,most recent attribution,Sphagnum angustifolium
Bryophyte,CANM 292235,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 269319,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 300984,Sphagnum recurvum var. tenue,most recent attribution,Sphagnum angustifolium
Bryophyte,CANM 247935,Sphagnum recurvum var. tenue,most recent attribution,Sphagnum angustifolium
Bryophyte,CANM 297888,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium | Sphagnum magellanicum
Bryophyte,CANM 104885,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium | Pleurozium schreberi
Bryophyte,CANM 257613,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 257613,Sphagnum recurvum var. tenue,identification confirmation,Sphagnum angustifolium
Bryophyte,CANM 246515,Sphagnum recurvum var. tenue,original identification,Sphagnum fallax
Bryophyte,CANM 104964,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104946,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 279309,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 297932,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 297937,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium | Sphagnum magellanicum
Bryophyte,CANM 315696,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104948,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104947,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 242834,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM  227949,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 250943,Sphagnum recurvum var. tenue,most recent attribution,Sphagnum angustifolium
Bryophyte,CANM 273957,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 273929,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
