mkey,descriptor,term,note
706205,substrate,n/a,on ground
706207,substrate,n/a,humus
706209,substrate,n/a,in hummock in meadow
706214,substrate,n/a,Humus
706215,substrate,n/a,on boulder beside stream
706216,substrate,n/a,humus on r.
706217,substrate,n/a,Humus
706222,substrate,n/a,on soil
706224,substrate,n/a,humid cliff terraces
706227,substrate,n/a,shaded boulder face
706228,substrate,n/a,on rocks
706232,substrate,n/a,humus
706239,substrate,n/a,humus
706240,substrate,n/a,amongst moss
706248,substrate,n/a,on rock cliff
706250,substrate,n/a,on rock face
706251,substrate,n/a,edge of mat at top of W. facing cliff
17498,substrate,n/a,On seepy rock outcrop in woods.
706253,substrate,n/a,on moist rock
706257,substrate,n/a,on damp humus on rock face
706260,substrate,n/a,on humus on rocks
706261,substrate,n/a,on rock cliff
706262,substrate,n/a,on rock cliff
706263,substrate,n/a,exposed rock at lakeshore
706264,substrate,n/a,on rock cliff
706265,substrate,n/a,on bluff beside river
706266,substrate,n/a,on bluff beside river
29444,substrate,n/a,On cliff beside road.
706268,substrate,n/a,moist tree base in shade
29447,substrate,n/a,On cliff beside road.
29448,substrate,n/a,Among sphagnum on ledge of cliff along road.
706270,substrate,n/a,on rocks
706271,substrate,n/a,on rocks
706272,substrate,n/a,on old logs
706278,substrate,n/a,on rocks
706310,substrate,n/a,on rock outcrop beside creek
706313,substrate,n/a,in cushion in wet swale at summit
706315,substrate,n/a,"on exposed, moist soil"
706317,substrate,n/a,"on moist, partly shaded humus"
706318,substrate,n/a,"on moist, partly shaded humus"
706319,substrate,n/a,on wet granite
31679,substrate,n/a,"Sol organique de 3 cm, sur roche."
706325,substrate,n/a,humus near lakeshore
706330,substrate,n/a,semi-shaded dry shelf
706340,substrate,n/a,peat bog
706344,substrate,n/a,on earth in a bog
706345,substrate,n/a,on ground in shady moist aspen woods
706349,substrate,n/a,in a long rock depression
706350,substrate,n/a,in a long rock depression
706352,substrate,n/a,tundra on S-facing slope
