speckey,scientific_name,collection,rank,ancestors,catalog_count
1080591,Celtis laevigata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Hamamelidae | Urticales | Ulmaceae | Celtis,1
1138820,Celtis laevigata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Hamamelidae | Urticales | xxUlmaceae | Celtis,1
1095843,Centella,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Apiales | Apiaceae,0
1145982,Centella,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | Umbellales | xxUmbelliferae,0
1102910,Chione,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Rubiales | Rubiaceae,0
1134285,Chione,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Rubiales | Rubiaceae,0
1157271,Chione,Zoology,GENUS,Animalia | Mollusca | Bivalvia | Heterodonta | Veneroida | Veneroidea | Veneridae,1
1142624,Cissus sicyoides,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | xxRhamnales | Vitidaceae | Cissus,1
1094565,Cissus sicyoides,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rhamnales | Vitaceae | Cissus,1
1093023,Clarkia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | Onagraceae,0
1141709,Clarkia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | xxOnagraceae,0
1093049,Clarkia dudleyana,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | Onagraceae | Clarkia,1
1141710,Clarkia dudleyana,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | xxOnagraceae | Clarkia,1
1093053,Clarkia gracilis,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | Onagraceae | Clarkia,0
1141711,Clarkia gracilis,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Myrtales | xxOnagraceae | Clarkia,0
1087000,Clethra alnifolia,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Ericales | Clethraceae | Clethra,2
1136400,Clethra alnifolia,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxDilleniidae | xxEricales | xxClethraceae | Clethra,2
1093994,Cnidoscolus,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Euphorbiales | Euphorbiaceae,0
1140416,Cnidoscolus,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Euphorbiales | Euphorbiaceae,0
1108865,Cocos nucifera,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Arecidae | Arecales | Arecaceae | Cocos,2
1130474,Cocos nucifera,Botany,SPECIES,Plantae | Anthophyta | xxLiliatae | xxArecidae | xxArecales | Palmae | Cocos,2
1102916,Coffea arabica,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Rubiales | Rubiaceae | Coffea,3
1134293,Coffea arabica,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Rubiales | Rubiaceae | Coffea,2
1088654,Coleogyne,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | Rosaceae,0
1144278,Coleogyne,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | Rosaceae,0
1090856,Colutea arborescens,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Fabales | Fabaceae | Colutea,1
1143758,Colutea arborescens,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Papilionoideae | Colutea,1
1095016,Comocladia dentata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Sapindales | Anacardiaceae | Comocladia,1
1144848,Comocladia dentata,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Sapindales | xxAnacardiaceae | Comocladia,1
1111429,Cortaderia,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Commelinidae | Poales | Poaceae,0
1131158,Cortaderia,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Commelinidae | xxCyperales | xxGramineae,0
1131769,Crocosmia,Botany,GENUS,Plantae | Anthophyta | xxLiliatae | xxLiliidae | xxLiliales | xxIridaceae,0
