id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
1737,1,catalogue,Newmaster Loan - Leptodictyum riparium,PUBLIC,Loan,MBOUCHARD,,,2008-01-29 10:36:32 UTC,PFRANK,2010-03-15 10:23:46 UTC
1767,1,catalogue,Eriocaulon Loan - Parnell,PUBLIC,,MBOUCHARD,,,2008-02-11 10:31:50 UTC,PFRANK,2010-03-15 10:21:59 UTC
1770,1,catalogue,Newmaster -February,PUBLIC,Loan,MBOUCHARD,,,2008-02-13 13:34:50 UTC,,
1784,1,catalogue,Newmaster Loan - Cinclidium stygium,PUBLIC,,MBOUCHARD,,,2008-02-22 11:02:24 UTC,MBOUCHARD,2011-10-20 08:47:17 UTC
1787,1,catalogue,Newmaster Loan - Mnium ambiguum,PUBLIC,,MBOUCHARD,,,2008-02-23 13:28:02 UTC,PFRANK,2010-03-15 10:24:08 UTC
1789,1,catalogue,Newmaster Loan - Mnium arizonicum,PUBLIC,,MBOUCHARD,,,2008-02-25 10:33:28 UTC,PFRANK,2010-03-15 10:24:15 UTC
1791,1,catalogue,Newmaster Loan - Mnium blyttii,PUBLIC,,MBOUCHARD,,,2008-02-25 10:45:30 UTC,PFRANK,2010-03-15 10:24:22 UTC
1792,1,catalogue,Newmaster Loan - Mnium hornum,PUBLIC,,MBOUCHARD,,,2008-02-25 11:11:02 UTC,PFRANK,2010-03-15 10:24:29 UTC
1793,1,catalogue,Newmaster Loan - Mnium marginatum,PUBLIC,,MBOUCHARD,,,2008-02-25 13:26:27 UTC,PFRANK,2010-03-15 10:24:36 UTC
1795,1,catalogue,Newmaster Loan - Mnium stellare,PUBLIC,,MBOUCHARD,,,2008-02-26 11:06:34 UTC,MBOUCHARD,2011-10-20 08:51:34 UTC
1796,1,catalogue,Newmaster Loan - Mnium thomsonii,PUBLIC,,MBOUCHARD,,,2008-02-26 11:25:55 UTC,PFRANK,2010-03-15 10:25:07 UTC
1797,1,catalogue,Newmaster Loan - Mnium sp.,PUBLIC,,MBOUCHARD,,,2008-02-26 13:29:51 UTC,PFRANK,2010-03-15 10:24:43 UTC
1798,1,catalogue,Agrestia loan to Helsinki,PUBLIC,Loan,MBOUCHARD,,,2008-02-27 13:33:08 UTC,,
1812,1,catalogue,Newmaster Loan - Rhizomnium andrewsianum & Rhizomnium appalachianum,PUBLIC,Loan,MBOUCHARD,,,2008-03-14 10:39:19 UTC,PFRANK,2010-03-15 10:26:44 UTC
1813,1,catalogue,Newmaster Loan - Rhizomnium glabrescens,PUBLIC,Loan,MBOUCHARD,,,2008-03-17 08:08:00 UTC,PFRANK,2010-03-15 10:26:51 UTC
